
1 white_tone 250 160
2 Himalayan_facewash 200 220
3 Himalayan_herbal 150 63
4 Sunsilk_yellow 100 240
5 Sunslik_black 50 260
6 Asta_Berry_Papaya 10 156
7 Baby_Lips 60 50
8 Lakme_eyeconic 40 120
9 Ponds_white_beauty 100 115
10 Ponds_bb_cream 97 250
11 Vasline 115 250
12 Fogg_body_spray 120 315
13 Sonata_eyeliner 150 45
14 Revion_lip_colour 110 450
15 Hair_band 200 25
16 Hair_clip 300 90
17 Dove_shampoo 50 470
18 Bajaj_almond_drops 40 180
19 Glycerien 50 30
20 Ayur_cold_wax 90 120
